,Date,Open,High,Low,Close,Volume,VZO
285,2023-04-01 17:30:00-05:00,7.535,7.535,7.535,7.535,0.7,-30.99115036350949
286,2023-04-01 17:45:00-05:00,7.548,7.556,7.548,7.552,11.56,-17.600377226496533
287,2023-04-01 18:00:00-05:00,7.546,7.546,7.542,7.542,1.16,-18.564265673739577
288,2023-04-01 18:15:00-05:00,7.542,7.542,7.542,7.542,0.0,-18.564265673739577
289,2023-04-01 18:30:00-05:00,7.542,7.542,7.542,7.542,0.0,-18.564265673739577
290,2023-04-01 18:45:00-05:00,7.542,7.542,7.542,7.542,0.0,-18.56426567373958
291,2023-04-01 19:00:00-05:00,7.542,7.542,7.542,7.542,0.0,-18.56426567373958
292,2023-04-01 19:15:00-05:00,7.513,7.513,7.513,7.513,0.7,-19.723232519550056
293,2023-04-01 19:30:00-05:00,7.503,7.503,7.488,7.488,13.27,-38.78069856834885
294,2023-04-01 19:45:00-05:00,7.499,7.499,7.479,7.479,7.35,-46.84527362503086
295,2023-04-01 20:00:00-05:00,7.479,7.479,7.479,7.479,0.0,-46.84527362503086
296,2023-04-01 20:15:00-05:00,7.479,7.479,7.479,7.479,0.0,-46.84527362503086
297,2023-04-01 20:30:00-05:00,7.476,7.476,7.476,7.476,4.67,-52.90114607963531
298,2023-04-01 20:45:00-05:00,7.473,7.473,7.472,7.472,7.44,-61.056980756621606
299,2023-04-01 21:00:00-05:00,7.47,7.47,7.463,7.463,6.18,-66.60023646435697
300,2023-04-01 21:15:00-05:00,7.462,7.462,7.449,7.458,16.4,-76.7387067020712
301,2023-04-01 21:30:00-05:00,7.458,7.458,7.458,7.458,0.0,-76.7387067020712
302,2023-04-01 21:45:00-05:00,7.458,7.458,7.458,7.458,0.0,-76.7387067020712
303,2023-04-01 22:00:00-05:00,7.458,7.458,7.458,7.458,0.0,-76.7387067020712
304,2023-04-01 22:15:00-05:00,7.458,7.458,7.458,7.458,0.0,-76.7387067020712
305,2023-04-01 22:30:00-05:00,7.49,7.49,7.49,7.49,0.71,-72.11280649927221
306,2023-04-01 22:45:00-05:00,7.49,7.49,7.49,7.49,0.0,-72.11280649927221
307,2023-04-01 23:00:00-05:00,7.49,7.49,7.49,7.49,0.0,-72.11280649927221
308,2023-04-01 23:15:00-05:00,7.496,7.499,7.491,7.491,104.46,75.11244046627682
309,2023-04-01 23:30:00-05:00,7.491,7.491,7.491,7.491,0.0,75.11244046627682
310,2023-04-01 23:45:00-05:00,7.491,7.491,7.491,7.491,0.0,75.11244046627684
311,2023-04-02 00:00:00-05:00,7.491,7.491,7.491,7.491,0.0,75.11244046627684
312,2023-04-02 00:15:00-05:00,7.493,7.493,7.489,7.489,40.32,10.464568415722104
313,2023-04-02 00:30:00-05:00,7.508,7.517,7.508,7.517,15.71,23.20977154604761
314,2023-04-02 00:45:00-05:00,7.517,7.517,7.517,7.517,0.0,23.20977154604761
315,2023-04-02 01:00:00-05:00,7.517,7.517,7.517,7.517,0.0,23.209771546047612
316,2023-04-02 01:15:00-05:00,7.517,7.517,7.517,7.517,0.0,23.209771546047612
317,2023-04-02 01:30:00-05:00,7.517,7.517,7.517,7.517,0.0,23.209771546047616
318,2023-04-02 01:45:00-05:00,7.517,7.517,7.517,7.517,0.0,23.209771546047616
319,2023-04-02 02:00:00-05:00,7.517,7.517,7.517,7.517,0.0,23.209771546047616
320,2023-04-02 02:15:00-05:00,7.517,7.517,7.517,7.517,0.0,23.209771546047616
321,2023-04-02 02:30:00-05:00,7.517,7.517,7.517,7.517,0.0,23.20977154604762
322,2023-04-02 02:45:00-05:00,7.517,7.517,7.517,7.517,0.0,23.20977154604762
323,2023-04-02 03:00:00-05:00,7.49,7.49,7.49,7.49,0.71,19.98108527263458
324,2023-04-02 03:15:00-05:00,7.49,7.49,7.49,7.49,0.0,19.981085272634576
325,2023-04-02 03:30:00-05:00,7.473,7.473,7.473,7.473,4.97,-3.568944867583253
326,2023-04-02 03:45:00-05:00,7.468,7.468,7.453,7.462,10.9,-35.57101077899756
327,2023-04-02 04:00:00-05:00,7.462,7.462,7.462,7.462,0.0,-35.57101077899756
328,2023-04-02 04:15:00-05:00,7.462,7.462,7.462,7.462,0.0,-35.57101077899756
329,2023-04-02 04:30:00-05:00,7.462,7.462,7.462,7.462,0.0,-35.57101077899756
330,2023-04-02 04:45:00-05:00,7.49,7.49,7.49,7.49,0.71,-30.568112193634455
331,2023-04-02 05:00:00-05:00,7.468,7.468,7.468,7.468,0.71,-33.403761203890504
332,2023-04-02 05:15:00-05:00,7.468,7.468,7.468,7.468,0.0,-33.4037612038905
333,2023-04-02 05:30:00-05:00,7.468,7.468,7.468,7.468,0.0,-33.403761203890504
334,2023-04-02 05:45:00-05:00,7.468,7.468,7.468,7.468,0.0,-33.403761203890504
335,2023-04-02 06:00:00-05:00,7.445,7.445,7.442,7.442,9.73,-66.56922455968585
336,2023-04-02 06:15:00-05:00,7.442,7.442,7.442,7.442,0.0,-66.56922455968586
337,2023-04-02 06:30:00-05:00,7.442,7.442,7.442,7.442,0.0,-66.56922455968586
338,2023-04-02 06:45:00-05:00,7.442,7.442,7.442,7.442,0.0,-66.56922455968585
339,2023-04-02 07:00:00-05:00,7.436,7.436,7.426,7.426,40.47,-92.84373681286648
340,2023-04-02 07:15:00-05:00,7.426,7.426,7.426,7.426,0.0,-92.8437368128665
341,2023-04-02 07:30:00-05:00,7.434,7.434,7.398,7.398,86.87,-97.79539771641873
342,2023-04-02 07:45:00-05:00,7.404,7.404,7.393,7.393,158.11,-99.10130744771281
343,2023-04-02 08:00:00-05:00,7.39,7.39,7.365,7.365,737.51,-99.78542040189257
344,2023-04-02 08:15:00-05:00,7.388,7.388,7.373,7.373,10.69,-97.27385837040292
345,2023-04-02 08:30:00-05:00,7.4,7.4,7.388,7.388,8.83,-94.93820715470207
346,2023-04-02 08:45:00-05:00,7.41,7.411,7.403,7.403,56.7,-79.21693257673546
347,2023-04-02 09:00:00-05:00,7.403,7.403,7.403,7.403,0.0,-79.21693257673543
348,2023-04-02 09:15:00-05:00,7.378,7.4,7.378,7.4,1.44,-79.27345138831461
349,2023-04-02 09:30:00-05:00,7.4,7.4,7.4,7.4,0.0,-79.27345138831463
350,2023-04-02 09:45:00-05:00,7.406,7.406,7.406,7.406,8.48,-75.53091387301828
351,2023-04-02 10:00:00-05:00,7.378,7.378,7.296,7.305,451.1,-89.27439656474999
352,2023-04-02 10:15:00-05:00,7.293,7.311,7.275,7.311,46.42,-77.44090233544551
353,2023-04-02 10:30:00-05:00,7.311,7.311,7.311,7.311,4.23,-76.28209171680332
354,2023-04-02 10:45:00-05:00,7.311,7.311,7.311,7.311,0.0,-76.28209171680332
355,2023-04-02 11:00:00-05:00,7.311,7.311,7.311,7.311,0.0,-76.28209171680331
356,2023-04-02 11:15:00-05:00,7.311,7.311,7.311,7.311,0.0,-76.28209171680331
357,2023-04-02 11:30:00-05:00,7.321,7.321,7.289,7.289,108.72,-81.72061519374348
358,2023-04-02 11:45:00-05:00,7.289,7.289,7.289,7.289,0.0,-81.7206151937435
359,2023-04-02 12:00:00-05:00,7.289,7.289,7.289,7.289,0.0,-81.7206151937435
360,2023-04-02 12:15:00-05:00,7.311,7.326,7.311,7.326,1.73,-80.707726498604
361,2023-04-02 12:30:00-05:00,7.328,7.363,7.328,7.358,97.41,-32.66568318809075
362,2023-04-02 12:45:00-05:00,7.356,7.356,7.356,7.356,13.91,-35.49143255709158
363,2023-04-02 13:00:00-05:00,7.356,7.356,7.356,7.356,0.0,-35.49143255709158
364,2023-04-02 13:15:00-05:00,7.333,7.334,7.32,7.334,3.44,-36.37062104284888
