,index,Date,Open,High,Low,Close,Volume,Slope,Intercept,Upper_Deviation,Lower_Deviation,Correlation,HH,LL,K,D,Crossover,VZO
74,89,2023-03-30 17:00:00-05:00,1793.03,1795.19,1792.49,1793.83,180.1057,-0.15128896571593203,1800.3005811965809,1820.338550901933,1780.2626114912287,0.44818039639749757,1798.74,1773.78,80.32852564102534,76.55947697571548,0,23.839993340911484
75,90,2023-03-30 17:15:00-05:00,1794.0,1794.89,1792.71,1793.22,71.5674,-0.14660519190953977,1800.1616292403248,1820.0880996773628,1780.2351588032868,0.44781144590693717,1798.74,1775.02,76.72849915682978,77.8200773762991,-1,18.091502489501057
76,91,2023-03-30 17:30:00-05:00,1793.98,1795.22,1790.93,1792.58,250.9545,-0.14256631166869596,1800.0404628330994,1819.8582077325614,1780.2227179336373,0.4477699456221038,1798.74,1777.78,70.61068702290042,75.88923727358518,0,-0.580526521382217
77,92,2023-03-30 17:45:00-05:00,1792.4,1793.7,1782.2,1784.72,556.1221,-0.14407925755722,1800.0863555250512,1819.881061278777,1780.2916497713254,0.4497707629639015,1798.74,1778.77,29.794692038057274,59.044626072595825,0,-29.203183251850216
78,93,2023-03-30 18:00:00-05:00,1784.06,1788.19,1781.95,1786.46,481.9811,-0.14423176678828162,1800.0910324748038,1819.8318907079065,1780.350174241701,0.45152808866453387,1798.74,1778.77,38.50776164246392,46.304380234473875,0,-0.32058311531204137
79,94,2023-03-30 18:15:00-05:00,1786.61,1790.97,1786.3,1790.15,203.7241,-0.1418523236282194,1800.0172697368416,1819.6640547543186,1780.3704847193646,0.452352725800979,1798.74,1778.77,56.98547821732646,41.762643965949216,1,9.54158516625487
80,95,2023-03-30 18:30:00-05:00,1789.92,1792.82,1789.52,1792.24,177.808,-0.13818048019533358,1799.9022186426118,1819.446639867319,1780.3577974179047,0.4523875188329836,1798.74,1779.52,66.1810613943809,53.89143375139042,0,17.690316752957816
81,96,2023-03-30 18:45:00-05:00,1792.02,1795.62,1790.04,1793.23,238.8893,-0.134019040605933,1799.770439722281,1819.212813126551,1780.328066318011,0.45200664916384914,1798.74,1781.95,67.18284693269801,63.44979551480179,0,27.776215501340342
82,97,2023-03-30 19:00:00-05:00,1793.23,1797.32,1792.62,1792.93,268.0443,-0.13020988339103196,1799.6485466914041,1818.990617272976,1780.3064761098324,0.45177774822357375,1798.74,1781.95,65.39606908874354,66.25332580527414,-1,10.28090027149068
83,98,2023-03-30 19:15:00-05:00,1792.88,1804.4,1789.61,1802.61,373.9501,-0.12068138528138522,1799.3404585858586,1818.673725094604,1780.0071920771134,0.4454478462243276,1804.4,1781.95,92.02672605790563,74.8685473597824,1,26.48432240451017
84,99,2023-03-30 19:30:00-05:00,1803.1,1806.21,1799.44,1800.96,265.8126,-0.11262178217821771,1799.0771782178217,1818.371464621791,1779.7828918138525,0.4407999594764551,1806.21,1781.95,78.35943940643033,78.59407818435983,-1,10.165878425450327
85,100,2023-03-30 19:45:00-05:00,1801.25,1809.17,1799.25,1805.59,399.9593,-0.10583642364236426,1798.8687029702967,1818.313243317997,1779.4241626225964,0.4325865246396866,1809.17,1781.95,86.8479059515057,85.74469047194721,1,26.605559401075546
86,101,2023-03-30 20:00:00-05:00,1805.69,1817.41,1805.21,1811.85,885.7138,-0.09476393639363936,1798.4987148514851,1818.2817467186837,1778.7156829842866,0.4292134761906693,1817.41,1781.95,84.32036097010669,83.17590210934758,0,49.99027930287303
87,102,2023-03-30 20:15:00-05:00,1811.91,1814.58,1810.21,1810.57,320.258,-0.08307164716471652,1798.0589465346538,1818.1166521135808,1778.0012409557269,0.4413316126281871,1817.41,1781.95,80.71065989847676,83.95964227336304,-1,32.39146448176108
88,103,2023-03-30 20:30:00-05:00,1810.34,1811.66,1802.15,1804.08,285.2254,-0.07663192319231919,1797.83458019802,1817.994064650102,1777.6750957459378,0.44172919005983236,1817.41,1781.95,62.40834743372775,75.81312276743706,0,18.146034250295024
